Team,Player,Event,Mins,Secs,X,Y,X2,Y2
GEVP,6,Errado,46,9,26,18,-,-
SITAS,2,reb_def,46,10,13,43,-,-
SITAS,2,Pase,46,11,10,37,28,61
SITAS,9,Pase,46,13,28,63,47,16
GEVP,5,Foul,46,16,82,41,-,-
SITAS,11,Pase,46,18,81,40,90,35
SITAS,10,Pase,46,18,91,33,89,61
SITAS,11,Gol,46,18,86,56,-,-
GEVP,5,Pase,46,22,87,46,73,48
GEVP,6,Pase,46,24,74,48,81,87
GEVP,5,Pase,46,26,83,93,63,49
GEVP,6,Pase,46,28,62,48,27,8
GEVP,2,Pase,46,31,28,8,36,72
GEVP,5,Pase,46,33,38,67,16,89
SITAS,2,Perdida,46,39,39,86,-,-
SITAS,10,Pase,46,46,65,76,54,47
SITAS,7,Pase,46,48,54,47,81,51
SITAS,7,Gol,46,50,78,45,-,-
GEVP,6,Pase,46,52,85,46,69,78
GEVP,2,Pase,46,53,70,74,33,93
GEVP,5,Pase,46,55,35,96,11,60
GEVP,8,Pase,46,59,17,84,17,57
GEVP,5,Pase,47,1,15,59,38,89
GEVP,2,Pase,47,3,39,92,19,48
GEVP,11,Gol,47,5,25,49,-,-
SITAS,9,Pase,47,7,12,49,22,19
SITAS,2,Pase,47,10,23,19,53,27
SITAS,11,Pase,47,13,53,27,55,69
SITAS,7,Pase,47,14,55,69,57,22
SITAS,10,Pase,47,16,57,24,78,44
SITAS,11,Gol,47,18,79,53,-,-
GEVP,6,Pase,47,21,86,52,35,87
GEVP,8,Pase,47,21,32,70,12,82
GEVP,2,Pase,47,24,18,84,-,-
SITAS,7,Pase,47,26,14,51,19,90
SITAS,2,Pase,47,29,22,93,43,49
SITAS,9,Pase,47,31,43,50,74,70
SITAS,10,Perdida,47,33,75,73,-,-
GEVP,5,Recupero,47,35,76,71,-,-
GEVP,5,Pase,47,34,77,71,63,49
GEVP,2,Pase,47,35,66,48,59,92
GEVP,6,Pase,47,37,59,91,73,83
GEVP,5,Pase,47,39,75,85,63,9
GEVP,10,Pase,47,40,65,12,35,9
GEVP,2,Pase,47,41,37,12,12,20
GEVP,11,Pase,47,42,11,21,17,40
GEVP,2,Pase,47,44,19,35,7,67
GEVP,5,Gol,47,46,12,75,-,-
SITAS,9,Pase,47,51,11,49,23,91
SITAS,7,Pase,47,53,22,90,50,50
SITAS,11,Pase,47,55,51,48,81,80
SITAS,-,Zona,48,0,51,50,-,-
SITAS,15,sub_out,48,1,1,8,-,-
SITAS,1,sub_in,48,1,0,10,-,-
GEVP,6,Pase,48,10,51,49,34,12
GEVP,5,Pase,48,12,34,14,16,8
GEVP,2,Gol,48,14,18,8,-,-
SITAS,1,Pase,48,18,13,78,31,79
SITAS,10,Pase,48,20,32,83,57,96
GEVP,10,Foul,48,28,72,44,-,-
SITAS,10,Pase,48,39,72,41,85,67
SITAS,11,Foul,48,39,84,66,-,-
GEVP,6,Pase,48,54,89,58,68,44
GEVP,5,Pase,48,55,68,44,73,87
GEVP,6,Pase,48,57,74,92,33,74
GEVP,8,Pase,48,58,33,77,8,61
SITAS,2,Pase,49,4,7,76,32,11
SITAS,7,Pase,49,6,34,17,64,11
SITAS,1,Pase,49,8,64,10,44,15
SITAS,7,Pase,49,10,41,8,66,87
SITAS,2,Perdida,49,12,77,82,-,-
GEVP,5,Recupero,49,12,79,79,-,-
GEVP,5,Pase,49,13,80,74,71,96
GEVP,6,Pase,49,14,72,98,53,70
GEVP,5,Pase,49,16,48,79,30,37
GEVP,2,Gol,49,19,30,43,-,-
SITAS,-,Zona,49,23,52,49,-,-
GEVP,6,Pase,49,24,52,49,21,89
GEVP,5,Pase,49,27,21,89,10,67
GEVP,8,Pase,49,29,7,76,30,92
GEVP,5,Pase,49,30,31,90,44,60
GEVP,2,Pase,49,32,46,61,23,42
GEVP,8,Errado,49,33,13,40,-,-
GEVP,5,Foul,49,37,10,57,-,-
SITAS,11,Pase,49,41,12,52,31,29
SITAS,7,Pase,49,42,33,34,42,8
SITAS,9,Pase,49,45,41,9,50,26
SITAS,7,Pase,49,46,52,22,76,42
SITAS,10,Perdida,49,51,79,42,-,-
GEVP,6,Pase,49,54,80,43,65,6
GEVP,10,Pase,49,55,69,6,76,27
GEVP,6,Pase,49,57,75,23,44,93
GEVP,11,Pase,49,59,40,90,19,31
