Team,Player,Event,Mins,Secs,X,Y,X2,Y2
GEVP,12,Pase,55,20,57,11,61,79
GEVP,8,Pase,55,22,61,81,80,54
GEVP,5,Pase,55,22,84,56,86,92
GEVP,11,Pase,55,25,91,95,74,45
GEVP,12,Gol,55,27,75,46,-,-
SITAS,7,Pase,55,30,85,44,66,40
SITAS,15,sub_out,55,27,50,49,-,-
SITAS,1,sub_in,55,27,50,49,-,-
SITAS,1,Pase,55,31,66,43,59,8
SITAS,9,Pase,55,33,59,7,35,6
SITAS,11,Pase,55,34,35,8,18,6
SITAS,10,Pase,55,37,18,5,30,38
SITAS,11,Gol,55,39,32,36,-,-
GEVP,9,Pase,55,42,13,43,28,11
