Team,Player,Event,Mins,Secs,X,Y,X2,Y2,id
SITAS,11,Gol,47,18,79,53,-,-,534
GEVP,6,Pase,47,21,86,52,35,87,535
GEVP,8,Pase,47,21,32,70,12,82,536
GEVP,2,Pase,47,24,18,84,-,-,537
SITAS,7,Pase,47,26,14,51,19,90,538
SITAS,2,Pase,47,29,22,93,43,49,539
SITAS,9,Pase,47,31,43,50,74,70,540
SITAS,10,Perdida,47,33,75,73,-,-,541
GEVP,5,Recupero,47,35,76,71,-,-,542
GEVP,5,Pase,47,34,77,71,63,49,543
GEVP,2,Pase,47,35,66,48,59,92,544
GEVP,6,Pase,47,37,59,91,73,83,545
GEVP,5,Pase,47,39,75,85,63,9,546
GEVP,10,Pase,47,40,65,12,35,9,547
GEVP,2,Pase,47,41,37,12,12,20,548
